a00;colera
x22;contato escorpioes
x220;contato escorpioes residencia
x221;contato escorpioes habitacao coletiva
x222;contato escorpioes escolas outras instituicoes areas administracao publica
x223;contato escorpioes area pratica esportes atletismo
x224;contato escorpioes rua estrada
x225;contato escorpioes areas comercio servicos
x226;contato escorpioes areas industriais construcao
x227;contato escorpioes fazenda
x228;contato escorpioes outros locais especificados
x229;contato escorpioes local nao especificado
x23;contato abelhas vespas vespoes
x230;contato abelhas vespas vespoes residencia
x231;contato abelhas vespas vespoes habitacao coletiva
x232;contato abelhas vespas vespoes escolas outras instituicoes areas administracao publica
x233;contato abelhas vespas vespoes area pratica esportes atletismo
x234;contato abelhas vespas vespoes rua estrada
x235;contato abelhas vespas vespoes areas comercio servicos
x236;contato abelhas vespas vespoes areas industriais construcao
x237;contato abelhas vespas vespoes fazenda
x238;contato abelhas vespas vespoes outros locais especificados
x239;contato abelhas vespas vespoes local nao especificado
x24;contato centopeias miriapodes venenosas tropicais
x240;contato centopeias miriapodes venenosas tropicais residencia
x241;contato centopeias miriapodes venenosas tropicais habitacao coletiva
x242;contato centopeias miriapodes venenosas tropicais escolas outras instituicoes areas administracao publica
x243;contato centopeias miriapodes venenosas tropicais area pratica esportes atletismo
x244;contato centopeias miriapodes venenosas tropicais rua estrada
x245;contato centopeias miriapodes venenosas tropicais areas comercio servicos
x246;contato centopeias miriapodes venenosas tropicais areas industriais construcao
x247;contato centopeias miriapodes venenosas tropicais fazenda
x248;contato centopeias miriapodes venenosas tropicais outros locais especificados
x249;contato centopeias miriapodes venenosas tropicais local nao especificado
x25;contato outros artropodes venenosos
x250;contato outros artropodes venenosos residencia
x251;contato outros artropodes venenosos habitacao coletiva
x252;contato outros artropodes venenosos escolas outras instituicoes areas administracao publica
x253;contato outros artropodes venenosos area pratica esportes atletismo
x254;contato outros artropodes venenosos rua estrada
x255;contato outros artropodes venenosos areas comercio servicos
x256;contato outros artropodes venenosos areas industriais construcao
x257;contato outros artropodes venenosos fazenda
x258;contato outros artropodes venenosos outros locais especificados
x259;contato outros artropodes venenosos local nao especificado
x26;contato animais plantas marinhos venenosos
x260;contato animais plantas marinhos venenosos residencia
x261;contato animais plantas marinhos venenosos habitacao coletiva
x262;contato animais plantas marinhos venenosos escolas outras instituicoes areas administracao publica
x263;contato animais plantas marinhos venenosos area pratica esportes atletismo
x264;contato animais plantas marinhos venenosos rua estrada
x265;contato animais plantas marinhos venenosos areas comercio servicos
x266;contato animais plantas marinhos venenosos areas industriais construcao
x267;contato animais plantas marinhos venenosos fazenda
x268;contato animais plantas marinhos venenosos outros locais especificados
x269;contato animais plantas marinhos venenosos local nao especificado
x27;contato outros animais venenosos especificados
x270;contato outros animais venenosos especificados residencia
x271;contato outros animais venenosos especificados habitacao coletiva
x272;contato outros animais venenosos especificados escolas outras instituicoes areas administracao publica
x273;contato outros animais venenosos especificados area pratica esportes atletismo
x274;contato outros animais venenosos especificados rua estrada
x275;contato outros animais venenosos especificados areas comercio servicos
x276;contato outros animais venenosos especificados areas industriais construcao
x277;contato outros animais venenosos especificados fazenda
x278;contato outros animais venenosos especificados outros locais especificados
x279;contato outros animais venenosos especificados local nao especificado
x28;contato outras plantas venenosas especificadas
x280;contato outras plantas venenosas especificadas residencia
x281;contato outras plantas venenosas especificadas habitacao coletiva
x282;contato outras plantas venenosas especificadas escolas outras instituicoes areas administracao publica
x283;contato outras plantas venenosas especificadas area pratica esportes atletismo
x284;contato outras plantas venenosas especificadas rua estrada
x285;contato outras plantas venenosas especificadas areas comercio servicos
x286;contato outras plantas venenosas especificadas areas industriais construcao
x287;contato outras plantas venenosas especificadas fazenda
x288;contato outras plantas venenosas especificadas outros locais especificados
x289;contato outras plantas venenosas especificadas local nao especificado
x29;contato animais plantas venenosos sem especificacao
x290;contato animais plantas venenosos sem especificacao residencia
x291;contato animais plantas venenosos sem especificacao habitacao coletiva
x292;contato animais plantas venenosos sem especificacao escolas outras instituicoes areas administracao publica
x293;contato animais plantas venenosos sem especificacao area pratica esportes atletismo
x294;contato animais plantas venenosos sem especificacao rua estrada
x295;contato animais plantas venenosos sem especificacao areas comercio servicos
x296;contato animais plantas venenosos sem especificacao areas industriais construcao
x297;contato animais plantas venenosos sem especificacao fazenda
x298;contato animais plantas venenosos sem especificacao outros locais especificados
x299;contato animais plantas venenosos sem especificacao local nao especificado
x30;exposicao calor natural excessivo
x300;exposicao calor natural excessivo residencia
x301;exposicao calor natural excessivo habitacao coletiva
x302;exposicao calor natural excessivo escolas outras instituicoes areas administracao publica
x303;exposicao calor natural excessivo area pratica esportes atletismo
x304;exposicao calor natural excessivo rua estrada
x305;exposicao calor natural excessivo areas comercio servicos
x306;exposicao calor natural excessivo areas industriais construcao
x307;exposicao calor natural excessivo fazenda
x308;exposicao calor natural excessivo outros locais especificados
x309;exposicao calor natural excessivo local nao especificado
x31;exposicao frio natural excessivo
x310;exposicao frio natural excessivo residencia
x311;exposicao frio natural excessivo habitacao coletiva
x312;exposicao frio natural excessivo escolas outras instituicoes areas administracao publica
x313;exposicao frio natural excessivo area pratica esportes atletismo
x314;exposicao frio natural excessivo rua estrada
x315;exposicao frio natural excessivo areas comercio servicos
x316;exposicao frio natural excessivo areas industriais construcao
x317;exposicao frio natural excessivo fazenda
x318;exposicao frio natural excessivo outros locais especificados
x319;exposicao frio natural excessivo local nao especificado
x32;exposicao luz solar
x320;exposicao luz solar residencia
x321;exposicao luz solar habitacao coletiva
x322;exposicao luz solar escolas outras instituicoes areas administracao publica
x323;exposicao luz solar area pratica esportes atletismo
x324;exposicao luz solar rua estrada
x325;exposicao luz solar areas comercio servicos
x326;exposicao luz solar areas industriais construcao
x327;exposicao luz solar fazenda
x328;exposicao luz solar outros locais especificados
x329;exposicao luz solar local nao especificado
x33;vitima raio
x330;vitima raio residencia
x331;vitima raio habitacao coletiva
x332;vitima raio escolas outras instituicoes areas administracao publica
x333;vitima raio area pratica esportes atletismo
x334;vitima raio rua estrada
x335;vitima raio areas comercio servicos
x336;vitima raio areas industriais construcao
x337;vitima raio fazenda
x338;vitima raio outros locais especificados
x339;vitima raio local nao especificado
x34;vitima terremoto
x340;vitima terremoto residencia
x341;vitima terremoto habitacao coletiva
x342;vitima terremoto escolas outras instituicoes areas administracao publica
x343;vitima terremoto area pratica esportes atletismo
x344;vitima terremoto rua estrada
x345;vitima terremoto areas comercio servicos
x346;vitima terremoto areas industriais construcao
x347;vitima terremoto fazenda
x348;vitima terremoto outros locais especificados
x349;vitima terremoto local nao especificado
x35;vitima erupcao vulcanica
x350;vitima erupcao vulcanica residencia
x351;vitima erupcao vulcanica habitacao coletiva
x352;vitima erupcao vulcanica escolas outras instituicoes areas administracao publica
x353;vitima erupcao vulcanica area pratica esportes atletismo
x354;vitima erupcao vulcanica rua estrada
x355;vitima erupcao vulcanica areas comercio servicos
x356;vitima erupcao vulcanica areas industriais construcao
x357;vitima erupcao vulcanica fazenda
x358;vitima erupcao vulcanica outros locais especificados
x359;vitima erupcao vulcanica local nao especificado
x36;vitima avalanche desabamento terra outros movimentos superficie terrestre
x360;vitima avalanche desabamento terra outros movimentos superficie terrestre residencia
x361;vitima avalanche desabamento terra outros movimentos superficie terrestre habitacao coletiva
x362;vitima avalanche desabamento terra outros movimentos superficie terrestre escolas outras instituicoes areas administracao publica
x363;vitima avalanche desabamento terra outros movimentos superficie terrestre area pratica esportes atletismo
x364;vitima avalanche desabamento terra outros movimentos superficie terrestre rua estrada
x365;vitima avalanche desabamento terra outros movimentos superficie terrestre areas comercio servicos
x366;vitima avalanche desabamento terra outros movimentos superficie terrestre areas industriais construcao
x367;vitima avalanche desabamento terra outros movimentos superficie terrestre fazenda
x368;vitima avalanche desabamento terra outros movimentos superficie terrestre outros locais especificados
x369;vitima avalanche desabamento terra outros movimentos superficie terrestre local nao especificado
x37;vitima tempestade cataclismica
x370;vitima tempestade cataclismica residencia
x371;vitima tempestade cataclismica habitacao coletiva
x372;vitima tempestade cataclismica escolas outras instituicoes areas administracao publica
x373;vitima tempestade cataclismica area pratica esportes atletismo
x374;vitima tempestade cataclismica rua estrada
x375;vitima tempestade cataclismica areas comercio servicos
x376;vitima tempestade cataclismica areas industriais construcao
x377;vitima tempestade cataclismica fazenda
x378;vitima tempestade cataclismica outros locais especificados
x379;vitima tempestade cataclismica local nao especificado
x38;vitima inundacao
x380;vitima inundacao residencia
x381;vitima inundacao habitacao coletiva
x382;vitima inundacao escolas outras instituicoes areas administracao publica
x383;vitima inundacao area pratica esportes atletismo
x384;vitima inundacao rua estrada
x385;vitima inundacao areas comercio servicos
x386;vitima inundacao areas industriais construcao
x387;vitima inundacao fazenda
x388;vitima inundacao outros locais especificados
x389;vitima inundacao local nao especificado
x39;exposicao outras forcas natureza nao especificadas
x390;exposicao outras forcas natureza nao especificadas residencia
x391;exposicao outras forcas natureza nao especificadas habitacao coletiva
x392;exposicao outras forcas natureza nao especificadas escolas outras instituicoes areas administracao publica
x393;exposicao outras forcas natureza nao especificadas area pratica esportes atletismo
x394;exposicao outras forcas natureza nao especificadas rua estrada
x395;exposicao outras forcas natureza nao especificadas areas comercio servicos
x396;exposicao outras forcas natureza nao especificadas areas industriais construcao
x397;exposicao outras forcas natureza nao especificadas fazenda
x398;exposicao outras forcas natureza nao especificadas outros locais especificados
x399;exposicao outras forcas natureza nao especificadas local nao especificado
x40;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos
x400;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos residencia
x401;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos habitacao coletiva
x402;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos escolas outras instituicoes areas administracao publica
x403;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos area pratica esportes atletismo
x404;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos rua estrada
x405;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos areas comercio servicos
x406;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos areas industriais construcao
x407;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos fazenda
x408;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos outros locais especificados
x409;envenenamento intoxicacao acidental exposicao analgesicos antipireticos anti reumaticos nao opiaceos local nao especificado
x41;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte
x410;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte residencia
x411;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte habitacao coletiva
x412;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte escolas outras instituicoes areas administracao publica
x413;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte area pratica esportes atletismo
x414;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte rua estrada
x415;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte areas comercio servicos
x416;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte areas industriais construcao
x417;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte fazenda
x418;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte outros locais especificados
x419;envenenamento intoxicacao acidental exposicao anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificadas outra parte local nao especificado
x42;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte
x420;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte residencia
x421;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte habitacao coletiva
x422;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte escolas outras instituicoes areas administracao publica
x423;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte area pratica esportes atletismo
x424;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte rua estrada
x425;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte areas comercio servicos
x426;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte areas industriais construcao
x427;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte fazenda
x428;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte outros locais especificados
x429;envenenamento intoxicacao acidental exposicao narcoticos psicodislepticos alucinogenos nao classificados outra parte local nao especificado
x43;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo
x430;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo residencia
x431;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo habitacao coletiva
x432;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo escolas outras instituicoes areas administracao publica
x433;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo area pratica esportes atletismo
x434;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo rua estrada
x435;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo areas comercio servicos
x436;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo areas industriais construcao
x437;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo fazenda
x438;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo outros locais especificados
x439;envenenamento intoxicacao acidental exposicao outras substancias farmacologicas acao sobre sistema nervoso autonomo local nao especificado
x44;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas
x440;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas residencia
x441;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas habitacao coletiva
x442;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas escolas outras instituicoes areas administracao publica
x443;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas area pratica esportes atletismo
x444;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas rua estrada
x445;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas areas comercio servicos
x446;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas areas industriais construcao
x447;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas fazenda
x448;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas outros locais especificados
x449;envenenamento intoxicacao acidental exposicao outras drogas medicamentos substancias biologicas nao especificadas local nao especificado
x45;envenenamento intoxicacao acidental exposicao ao alcool
x450;envenenamento intoxicacao acidental exposicao ao alcool residencia
x451;envenenamento intoxicacao acidental exposicao ao alcool habitacao coletiva
x452;envenenamento intoxicacao acidental exposicao ao alcool escolas outras instituicoes areas administracao publica
x453;envenenamento intoxicacao acidental exposicao ao alcool area pratica esportes atletismo
x454;envenenamento intoxicacao acidental exposicao ao alcool rua estrada
x455;envenenamento intoxicacao acidental exposicao ao alcool areas comercio servicos
x456;envenenamento intoxicacao acidental exposicao ao alcool areas industriais construcao
x457;envenenamento intoxicacao acidental exposicao ao alcool fazenda
x458;envenenamento intoxicacao acidental exposicao ao alcool outros locais especificados
x459;envenenamento intoxicacao acidental exposicao ao alcool local nao especificado
x46;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores
x460;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores residencia
x461;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores habitacao coletiva
x462;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores escolas outras instituicoes areas administracao publica
x463;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores area pratica esportes atletismo
x464;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores rua estrada
x465;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores areas comercio servicos
x466;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores areas industriais construcao
x467;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores fazenda
x468;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores outros locais especificados
x469;envenenamento intoxicacao acidental exposicao solventes organicos hidrocarbonetos halogenados seus vapores local nao especificado
x47;intoxicacao acidental exposicao outros gases vapores
x470;intoxicacao acidental exposicao outros gases vapores residencia
x471;intoxicacao acidental exposicao outros gases vapores habitacao coletiva
x472;intoxicacao acidental exposicao outros gases vapores escolas outras instituicoes areas administracao publica
x473;intoxicacao acidental exposicao outros gases vapores area pratica esportes atletismo
x474;intoxicacao acidental exposicao outros gases vapores rua estrada
x475;intoxicacao acidental exposicao outros gases vapores areas comercio servicos
x476;intoxicacao acidental exposicao outros gases vapores areas industriais construcao
x477;intoxicacao acidental exposicao outros gases vapores fazenda
x478;intoxicacao acidental exposicao outros gases vapores outros locais especificados
x479;intoxicacao acidental exposicao outros gases vapores local nao especificado
x48;envenenamento intoxicacao acidental exposicao pesticidas
x480;envenenamento intoxicacao acidental exposicao pesticidas residencia
x481;envenenamento intoxicacao acidental exposicao pesticidas habitacao coletiva
x482;envenenamento intoxicacao acidental exposicao pesticidas escolas outras instituicoes areas administracao publica
x483;envenenamento intoxicacao acidental exposicao pesticidas area pratica esportes atletismo
x484;envenenamento intoxicacao acidental exposicao pesticidas rua estrada
x485;envenenamento intoxicacao acidental exposicao pesticidas areas comercio servicos
x486;envenenamento intoxicacao acidental exposicao pesticidas areas industriais construcao
x487;envenenamento intoxicacao acidental exposicao pesticidas fazenda
x488;envenenamento intoxicacao acidental exposicao pesticidas outros locais especificados
x489;envenenamento intoxicacao acidental exposicao pesticidas local nao especificado
x49;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas
x490;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas residencia
x491;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas habitacao coletiva
x492;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas escolas outras instituicoes areas administracao publica
x493;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas area pratica esportes atletismo
x494;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas rua estrada
x495;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas areas comercio servicos
x496;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas areas industriais construcao
x497;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas fazenda
x498;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas outros locais especificados
x499;envenenamento intoxicacao acidental exposicao outras substancias quimicas nocivas nao especificadas local nao especificado
x50;excesso exercicios movimentos vigorosos repetitivos
x500;excesso exercicios movimentos vigorosos repetitivos residencia
x501;excesso exercicios movimentos vigorosos repetitivos habitacao coletiva
x502;excesso exercicios movimentos vigorosos repetitivos escolas outras instituicoes areas administracao publica
x503;excesso exercicios movimentos vigorosos repetitivos area pratica esportes atletismo
x504;excesso exercicios movimentos vigorosos repetitivos rua estrada
x505;excesso exercicios movimentos vigorosos repetitivos areas comercio servicos
x506;excesso exercicios movimentos vigorosos repetitivos areas industriais construcao
x507;excesso exercicios movimentos vigorosos repetitivos fazenda
x508;excesso exercicios movimentos vigorosos repetitivos outros locais especificados
x509;excesso exercicios movimentos vigorosos repetitivos local nao especificado
x51;viagem movimento
x510;viagem movimento residencia
x511;viagem movimento habitacao coletiva
x512;viagem movimento escolas outras instituicoes areas administracao publica
x513;viagem movimento area pratica esportes atletismo
x514;viagem movimento rua estrada
x515;viagem movimento areas comercio servicos
x516;viagem movimento areas industriais construcao
x517;viagem movimento fazenda
x518;viagem movimento outros locais especificados
x519;viagem movimento local nao especificado
x52;estadia prolongada ambiente agravitacional
x520;estadia prolongada ambiente agravitacional residencia
x521;estadia prolongada ambiente agravitacional habitacao coletiva
x522;estadia prolongada ambiente agravitacional escolas outras instituicoes areas administracao publica
x523;estadia prolongada ambiente agravitacional area pratica esportes atletismo
x524;estadia prolongada ambiente agravitacional rua estrada
x525;estadia prolongada ambiente agravitacional areas comercio servicos
x526;estadia prolongada ambiente agravitacional areas industriais construcao
x527;estadia prolongada ambiente agravitacional fazenda
x528;estadia prolongada ambiente agravitacional outros locais especificados
x529;estadia prolongada ambiente agravitacional local nao especificado
x53;falta alimento
x530;falta alimento residencia
x531;falta alimento habitacao coletiva
x532;falta alimento escolas outras instituicoes areas administracao publica
x533;falta alimento area pratica esportes atletismo
x534;falta alimento rua estrada
x535;falta alimento areas comercio servicos
x536;falta alimento areas industriais construcao
x537;falta alimento fazenda
x538;falta alimento outros locais especificados
x539;falta alimento local nao especificado
x54;falta agua
x540;falta agua residencia
x541;falta agua habitacao coletiva
x542;falta agua escolas outras instituicoes areas administracao publica
x543;falta agua area pratica esportes atletismo
x544;falta agua rua estrada
x545;falta agua areas comercio servicos
x546;falta agua areas industriais construcao
x547;falta agua fazenda
x548;falta agua outros locais especificados
x549;falta agua local nao especificado
x57;privacao nao especificada
x570;privacao nao especificada residencia
x571;privacao nao especificada habitacao coletiva
x572;privacao nao especificada escolas outras instituicoes areas administracao publica
x573;privacao nao especificada area pratica esportes atletismo
x574;privacao nao especificada rua estrada
x575;privacao nao especificada areas comercio servicos
x576;privacao nao especificada areas industriais construcao
x577;privacao nao especificada fazenda
x578;privacao nao especificada outros locais especificados
x579;privacao nao especificada local nao especificado
x58;exposicao outros fatores especificados
x580;exposicao outros fatores especificados residencia
x581;exposicao outros fatores especificados habitacao coletiva
x582;exposicao outros fatores especificados escolas outras instituicoes areas administracao publica
x583;exposicao outros fatores especificados area pratica esportes atletismo
x584;exposicao outros fatores especificados rua estrada
x585;exposicao outros fatores especificados areas comercio servicos
x586;exposicao outros fatores especificados areas industriais construcao
x587;exposicao outros fatores especificados fazenda
x588;exposicao outros fatores especificados outros locais especificados
x589;exposicao outros fatores especificados local nao especificado
x59;exposicao fatores nao especificados
x590;exposicao fator nao especificado causando fratura
x599;exposicao fator nao especificado causando outro tr|aumatismo traumatismo nao especificado
x60;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos
x600;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos residencia
x601;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos habitacao coletiva
x602;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos escolas outras instituicoes areas administracao publica
x603;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos area pratica esportes atletismo
x604;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos rua estrada
x605;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos areas comercio servicos
x606;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos areas industriais construcao
x607;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos fazenda
x608;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos outros locais especificados
x609;auto intoxicacao exposicao intencional analgesicos antipireticos anti reumaticos nao opiaceos local nao especificado
x61;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte
x610;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte residencia
x611;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte habitacao coletiva
x612;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte escolas outras instituicoes areas administracao publica
x613;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte area pratica esportes atletismo
x614;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte rua estrada
x615;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte areas comercio servicos
x616;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte areas industriais construcao
x617;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte fazenda
x618;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte outros locais especificados
x619;auto intoxicacao exposicao intencional drogas anticonvulsivantes antiepilepticos sedativos hipnoticos antiparkinsonianos psicotropicos nao classificados outra parte local nao especificado
x62;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte
x620;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte residencia
x621;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte habitacao coletiva
x622;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte escolas outras instituicoes areas administracao publica
x623;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte area pratica esportes atletismo
x624;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte rua estrada
x625;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte areas comercio servicos
x626;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte areas industriais construcao
x627;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte fazenda
x628;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte outros locais especificados
x629;auto intoxicacao exposicao intencional narcoticos psicodislepticos alucinogenos nao classificados outra parte local nao especificado
x63;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo
x630;auto intoxicacao exposicao intencional outras substancias farmacologicas acao sobre sistema nervoso autonomo residencia
